id	image_type	year	title	image	description
3294	jpg	2023	Kabhi alvida na sania..	https://amul.com/files/hits/amul-hits-3294.jpg	India's legendary tennis player bids goodbye! - (Jan'23)
3293	jpg	2023	Three Maska- teers!	https://amul.com/files/hits/amul-hits-3293.jpg	Legendary Fusion band completes 50 years! - (Jan'23)
3292	jpg	2023	Authentically Indian Botter!	https://amul.com/files/hits/amul-hits-3292.jpg	ChatGPT... the AI that answers questions conversationally! - (Jan'23)
3291	jpg	2023	Indian PremhHer Leaugue!	https://amul.com/files/hits/amul-hits-3291.jpg	Launch of Women's IPL! - (Jan'23)
3288	jpg	2023	Thali for thala, party for thalapathy!	https://amul.com/files/hits/amul-hits-3288.jpg	Vijay's Varisu and Ajith's Thunivu release today! - (Jan'23)
3289	jpg	2023	Har homemaderecipes completes 1000 days of non-stop facebook live cooking shows!	https://amul.com/files/hits/amul-hits-3289.jpg	Amul Simple homemade recipes completes 1000 days of non-stop Facebook Live cooking shows! - (Jan'23)
3290	jpg	2023	Really Remarkable Reward	https://amul.com/files/hits/amul-hits-3290.jpg	Naatu Naatu'wins Best Original Song at Golden Globes! - (Jan'23)
3287	jpg	2023	The miss in mission!	https://amul.com/files/hits/amul-hits-3287.jpg	India deploys largest women peace-keeping platoon in a UN Mission! - (Jan'23)
3286	jpg	2023	Outside food ka the end!	https://amul.com/files/hits/amul-hits-3286.jpg	Ruling disallows home food inside cinema halls! - (Jan'22)
3285	jpg	2023	Rish ab jald hi theek ho jaao!	https://amul.com/files/hits/amul-hits-3285.jpg	Wishing India's star wicket keeper-batsman a speedy recovery! - (Jan'22)
3284	jpg	2023	happy two thousand and twenty treat!	https://amul.com/files/hits/amul-hits-3284.jpg	Happy new year! - (Dec'22)
3283	jpg	2022	Simple the best!	https://amul.com/files/hits/amul-hits-3283.jpg	Tribute to one of football's greatest players... - (Dec'22)
3282	jpg	2022	Dish Yum (too)!	https://amul.com/files/hits/amul-hits-3282.jpg	Bollywood sequel finds critical and commercial success! - (Dec'22)
3281	jpg	2022	He's currantly the costliest	https://amul.com/files/hits/amul-hits-3281.jpg	The most expensive player in IPL history! - (Dec'22)
3280	jpg	2022	Desh ki dharti sona ugle ugle hero moti...	https://amul.com/files/hits/amul-hits-3280.jpg	Celebrating Kisan Diwas! - (Dec'22)
3279	jpg	2022	Awater!	https://amul.com/files/hits/amul-hits-3279.jpg	Hollywood blockbuster makes waves! - (Dec'22)
3278	jpg	2022	Messi, Maska leo	https://amul.com/files/hits/amul-hits-3278.jpg	Argentina win their third FIFA World Cup! - (Dec'22)
3277	jpg	2022	Merocco butter chahiye!	https://amul.com/files/hits/amul-hits-3277.jpg	First African nation to make it to a FIFA World Cup semi-finals... - (Dec'22)
3276	jpg	2022	Semi final se Messi final tak!	https://amul.com/files/hits/amul-hits-3276.jpg	Argentina beat Croatia to enter finals of FIFA World Cup 2022! - (Dec'22)
3275	jpg	2022	Sandvic for livakovic, Maska for Martinez	https://amul.com/files/hits/amul-hits-3275.jpg	Argentina and Croatia goalies'penalty saves send their teams into semis! - (Dec'22)
3274	jpg	2022	Gujaraj!	https://amul.com/files/hits/amul-hits-3274.jpg	BJP sweeps Gujarat Elections! - (Dec'22)
3273	jpg	2022	Goal- carlo ramos!	https://amul.com/files/hits/amul-hits-3273.jpg	Portuguese footballer scores hattrick on World Cup debut! - (Dec'22)
3272	jpg	2022	The Mbeutiful game!	https://amul.com/files/hits/amul-hits-3272.jpg	The French striker leads Golden Boot Race with 5 goals in FIFA World Cup 2022! - (Dec'22)
3271	jpg	2022	Hurrai for samurai!	https://amul.com/files/hits/amul-hits-3271.jpg	Japan outdo themselves and enter last 16 of FIFA 2022! - (Dec'22)
3270	jpg	2022	Aa dekhe zara kick mein kitna hai dum	https://amul.com/files/hits/amul-hits-3270.jpg	Both Messi and Ronaldo excel for Argentina and Portugal! - (Nov'22)
3269	jpg	2022	Har part ke Samrat !	https://amul.com/files/hits/amul-hits-3269.jpg	Tribute to veteran Hindi film and Marathi theatre legend! - (Nov'22)
3268	jpg	2022	The brightest star in our Milky way	https://amul.com/files/hits/amul-hits-3268.jpg	Celebrating the 101st birth anniversary of the Milkman of India! - (Nov'22)
3266	jpg	2022	Utterly quarterly delicious!	https://amul.com/files/hits/amul-hits-3266.jpg	FIFA World Cup 2022 unleashes... - (Nov'22)
3267	jpg	2022	Har Gulshan mein phool khilaye	https://amul.com/files/hits/amul-hits-3267.jpg	Tribute to the legendary actress and TV show host! - (Nov'22)
3265	jpg	2022	Billions 8 our butter!	https://amul.com/files/hits/amul-hits-3265.jpg	World population reaches 8 billion! (Nov'22)
3264	jpg	2022	Portugoal	https://amul.com/files/hits/amul-hits-3264.jpg	Amul is the proud regional sponsor of the Portugal football team! - (Nov'22)
3263	jpg	2022	One Earth. Every family. One Butter.	https://amul.com/files/hits/amul-hits-3263.jpg	India readies for G20 presidency! - (Nov'22)
3262	jpg	2022	Incredibly skylish	https://amul.com/files/hits/amul-hits-3262.jpg	Will the masterful batsman lead India to the final? - (Nov'22)
3261	jpg	2022	Alia bhetti	https://amul.com/files/hits/amul-hits-3261.jpg	Star couple welcome a baby daughter! - (Nov'22)
3260	jpg	2022	Yeh blue theek nahin hai!	https://amul.com/files/hits/amul-hits-3260.jpg	Twitter will now charge for the blue tick! - (Nov'22)
